date,averagePrice,totalBags,type,year
2015-12-27,1.33,8696.87,conventional,2015
2015-12-20,1.35,9505.56,conventional,2015
2015-12-13,0.93,8145.35,conventional,2015
2015-12-06,1.08,5811.16,conventional,2015
2015-11-29,1.28,6183.95,conventional,2015
2015-11-22,1.26,6683.91,conventional,2015
2015-11-15,0.99,8318.86,conventional,2015
2015-11-08,0.98,6829.22,conventional,2015
2015-11-01,1.02,11388.36,conventional,2015
2015-10-25,1.07,8625.92,conventional,2015
2015-10-18,1.12,8205.66,conventional,2015
2015-10-11,1.28,10123.9,conventional,2015
2015-10-04,1.31,8756.75,conventional,2015
2015-09-27,0.99,6034.46,conventional,2015
2015-09-20,1.33,9267.36,conventional,2015
2015-09-13,1.28,9286.68,conventional,2015
2015-09-06,1.11,7990.1,conventional,2015
2015-08-30,1.07,10306.73,conventional,2015
2015-08-23,1.34,10880.36,conventional,2015
2015-08-16,1.33,10443.22,conventional,2015
2015-08-09,1.12,9225.89,conventional,2015
2015-08-02,1.45,11847.02,conventional,2015
2015-07-26,1.11,13192.69,conventional,2015
2015-07-19,1.26,11287.48,conventional,2015
2015-07-12,1.05,24431.9,conventional,2015
2015-07-05,1.35,29898.96,conventional,2015
2015-06-28,1.37,26662.08,conventional,2015
2015-06-21,1.27,21875.65,conventional,2015
2015-06-14,1.32,29002.59,conventional,2015
2015-06-07,1.07,22775.21,conventional,2015
2015-05-31,1.23,23681.01,conventional,2015
2015-05-24,1.19,29355.13,conventional,2015
2015-05-17,1.43,26657.44,conventional,2015
2015-05-10,1.26,16821.3,conventional,2015
2015-05-03,1.2,12570.51,conventional,2015
2015-04-26,1.22,12778.44,conventional,2015
2015-04-19,1.19,14301.92,conventional,2015
2015-04-12,1.13,17104.37,conventional,2015
2015-04-05,1.16,10728.94,conventional,2015
2015-03-29,1.02,7684.08,conventional,2015
2015-03-22,1.12,9749.66,conventional,2015
2015-03-15,1.11,10370.69,conventional,2015
2015-03-08,1.07,9181.99,conventional,2015
2015-03-01,0.99,9151.45,conventional,2015
2015-02-22,1.07,9379.54,conventional,2015
2015-02-15,1.06,10313.03,conventional,2015
2015-02-08,0.99,10621.54,conventional,2015
2015-02-01,0.99,9323.18,conventional,2015
2015-01-25,1.06,10845.82,conventional,2015
2015-01-18,1.17,11921.05,conventional,2015
2015-01-11,1.24,8424.77,conventional,2015
2015-01-04,1.22,9716.46,conventional,2015
2015-12-27,0.99,66354.31,conventional,2015
2015-12-20,1.08,58797.87,conventional,2015
2015-12-13,0.96,61545.31,conventional,2015
2015-12-06,1.07,50690.04,conventional,2015
2015-11-29,0.99,53794.68,conventional,2015
2015-11-22,1.0,56382.08,conventional,2015
2015-11-15,1.13,47046.48,conventional,2015
2015-11-08,1.12,48628.65,conventional,2015
2015-11-01,0.99,65398.38,conventional,2015
2015-10-25,1.09,56751.46,conventional,2015
2015-10-18,1.09,60339.19,conventional,2015
2015-10-11,0.95,86294.11,conventional,2015
2015-10-04,0.96,59460.41,conventional,2015
2015-09-27,1.07,45662.3,conventional,2015
2015-09-20,0.93,86201.96,conventional,2015
2015-09-13,1.07,75983.02,conventional,2015
2015-09-06,0.97,94436.19,conventional,2015
2015-08-30,1.15,61281.24,conventional,2015
2015-08-23,1.12,57418.09,conventional,2015
2015-08-16,1.09,59216.9,conventional,2015
2015-08-09,1.01,67472.2,conventional,2015
2015-08-02,1.15,53888.32,conventional,2015
2015-07-26,1.08,57210.66,conventional,2015
2015-07-19,0.97,61292.37,conventional,2015
2015-07-12,1.14,58303.85,conventional,2015
2015-07-05,1.01,70560.49,conventional,2015
2015-06-28,1.13,65342.19,conventional,2015
2015-06-21,0.99,74542.11,conventional,2015
2015-06-14,1.1,61261.44,conventional,2015
2015-06-07,0.99,72290.28,conventional,2015
2015-05-31,1.1,51735.02,conventional,2015
2015-05-24,0.96,56539.87,conventional,2015
2015-05-17,1.11,45392.29,conventional,2015
2015-05-10,1.1,46668.26,conventional,2015
2015-05-03,1.0,66181.63,conventional,2015
2015-04-26,1.12,41511.84,conventional,2015
2015-04-19,1.12,43342.6,conventional,2015
2015-04-12,0.99,50884.32,conventional,2015
2015-04-05,1.04,45037.12,conventional,2015
2015-03-29,1.11,43780.25,conventional,2015
2015-03-22,1.0,62275.1,conventional,2015
2015-03-15,1.12,46575.23,conventional,2015
2015-03-08,1.1,43241.42,conventional,2015
2015-03-01,0.99,49456.96,conventional,2015
2015-02-22,1.1,43430.04,conventional,2015
2015-02-15,1.06,44885.92,conventional,2015
2015-02-08,1.03,38940.18,conventional,2015
2015-02-01,0.96,51694.49,conventional,2015
2015-01-25,1.1,36612.16,conventional,2015
2015-01-18,1.11,40040.48,conventional,2015
2015-01-11,1.11,47038.08,conventional,2015
2015-01-04,1.0,46815.79,conventional,2015
2015-12-27,1.17,144911.1,conventional,2015
2015-12-20,1.11,144238.07,conventional,2015
2015-12-13,1.15,150966.28,conventional,2015
2015-12-06,1.04,118664.97,conventional,2015
2015-11-29,1.16,105468.28,conventional,2015
2015-11-22,1.12,121670.73,conventional,2015
2015-11-15,1.04,129760.36,conventional,2015
2015-11-08,1.05,144840.21,conventional,2015
2015-11-01,1.12,157925.7,conventional,2015
2015-10-25,1.19,156128.69,conventional,2015
2015-10-18,0.99,151925.64,conventional,2015
2015-10-11,1.24,168354.42,conventional,2015
2015-10-04,1.28,172234.02,conventional,2015
2015-09-27,1.19,151893.12,conventional,2015
2015-09-20,1.17,174029.62,conventional,2015
2015-09-13,1.09,151499.56,conventional,2015
2015-09-06,1.18,168970.84,conventional,2015
2015-08-30,1.24,185304.24,conventional,2015
2015-08-23,1.16,178376.77,conventional,2015
2015-08-16,1.14,155975.35,conventional,2015
2015-08-09,1.16,164862.89,conventional,2015
2015-08-02,1.17,166728.92,conventional,2015
2015-07-26,1.2,178660.25,conventional,2015
2015-07-19,1.18,200713.09,conventional,2015
2015-07-12,1.1,193887.17,conventional,2015
2015-07-05,1.16,206108.89,conventional,2015
2015-06-28,1.15,211564.63,conventional,2015
2015-06-21,1.16,224622.73,conventional,2015
2015-06-14,1.09,249197.18,conventional,2015
2015-06-07,1.26,225052.84,conventional,2015
2015-05-31,1.19,217785.55,conventional,2015
2015-05-24,1.18,234503.17,conventional,2015
2015-05-17,1.27,227331.17,conventional,2015
2015-05-10,1.26,224519.06,conventional,2015
2015-05-03,1.17,209686.17,conventional,2015
2015-04-26,1.29,218351.8,conventional,2015
2015-04-19,1.28,225627.29,conventional,2015
2015-04-12,1.15,201392.01,conventional,2015
2015-04-05,1.29,191339.73,conventional,2015
2015-03-29,1.25,163768.62,conventional,2015
2015-03-22,1.1,176385.62,conventional,2015
2015-03-15,1.24,197864.76,conventional,2015
2015-03-08,1.26,192522.26,conventional,2015
